subject,body,label
Your computer has a virus call us immediately,I am a Nigerian prince seeking trusted partner for confidential business transaction worth 25 million dollars I will give you 30 percent of total amount for your assistance reply now,spam
Following up on our conversation from last week,This is to confirm your appointment with Dr Johnson on Thursday at 10am Please arrive 15 minutes early to complete paperwork Call us if you need to reschedule the appointment,ham
Campus event student council meeting tonight 7pm,Just a reminder that your quarterly performance review is scheduled for next Monday at 2pm Please come prepared with a summary of your accomplishments and goals for the upcoming quarter,ham
Thanks for your help with the presentation yesterday,Hi just wanted to check if we are still on for the team meeting tomorrow at 3pm Please let me know if you need to reschedule and I will update the calendar invite accordingly,ham
Quarterly report Q3 results summary attached,Thank you for your help with the client presentation yesterday it went really well and they were very impressed with the work our team has done I will let you know about next steps,ham
Invoice attached please process by end of month,I reviewed your research paper draft and left detailed comments in the document Overall it looks good but there are a few sections that need more supporting evidence and citations,ham
Click here to enlarge unsubscribe at any time,Make money fast from home Our proven system guarantees you will earn 5000 per week with just 2 hours of work daily No experience required Join thousands of satisfied members today,spam
Thanks for your help with the presentation yesterday,Thank you for your help with the client presentation yesterday it went really well and they were very impressed with the work our team has done I will let you know about next steps,ham
Your subscription renewal confirmation receipt attached,Hi everyone attached are the meeting notes from our standup this morning Please review action items assigned to you and update your status in the project tracker by end of day,ham
Meeting rescheduled to 3pm tomorrow please confirm,As discussed in our meeting last week I am following up on the budget proposal Could you please send me the updated figures so I can include them in the board presentation,ham
FREE gift card 500 Amazon select here to claim,CONGRATULATIONS You have won an exclusive prize worth 1000000 Click the link below to claim your reward Act fast this offer expires in 24 hours Do not miss this once in lifetime opportunity,spam
WINNER NOTIFICATION Claim your prize today,Dear winner you have been selected as winner of our international lottery To claim your prize send us your personal details including bank account number and we will transfer your winnings immediately,spam
Your PayPal account has been compromised act now,LOSE WEIGHT FAST with our new miracle pill Guaranteed to help you lose 30 pounds in 30 days or your money back No diet or exercise required doctor approved natural formula,spam
WINNER NOTIFICATION Claim your prize today,Your account has been compromised Verify your details immediately to prevent suspension Click here to confirm your identity This is urgent and requires immediate action from you,spam
Hot singles in your area want to meet you tonight,Your account has been compromised Verify your details immediately to prevent suspension Click here to confirm your identity This is urgent and requires immediate action from you,spam
Following up on our conversation from last week,Your order number 12345 has been shipped and is expected to arrive by Thursday You can track your package using the tracking number provided please contact us if you have questions,ham
Make 5000 per week from home no experience needed,Your account has been compromised Verify your details immediately to prevent suspension Click here to confirm your identity This is urgent and requires immediate action from you,spam
FREE gift card 500 Amazon select here to claim,I am a Nigerian prince seeking trusted partner for confidential business transaction worth 25 million dollars I will give you 30 percent of total amount for your assistance reply now,spam
Debt consolidation get out of debt now easy approval,Hot girls in your area are looking to meet tonight See who wants to hook up near you Join for free today no credit card required thousands of profiles online,spam
Lose 30 pounds in 30 days guaranteed results,I am a Nigerian prince seeking trusted partner for confidential business transaction worth 25 million dollars I will give you 30 percent of total amount for your assistance reply now,spam
Your computer has a virus call us immediately,CONGRATULATIONS You have won an exclusive prize worth 1000000 Click the link below to claim your reward Act fast this offer expires in 24 hours Do not miss this once in lifetime opportunity,spam
Congratulations You won 1000000 prize claim now,Make money fast from home Our proven system guarantees you will earn 5000 per week with just 2 hours of work daily No experience required Join thousands of satisfied members today,spam
Meeting rescheduled to 3pm tomorrow please confirm,Just a reminder that your quarterly performance review is scheduled for next Monday at 2pm Please come prepared with a summary of your accomplishments and goals for the upcoming quarter,ham
Research paper feedback see comments in document,This is to confirm your appointment with Dr Johnson on Thursday at 10am Please arrive 15 minutes early to complete paperwork Call us if you need to reschedule the appointment,ham
Make 5000 per week from home no experience needed,I am a Nigerian prince seeking trusted partner for confidential business transaction worth 25 million dollars I will give you 30 percent of total amount for your assistance reply now,spam
Can you review the draft before the client call,Hi just wanted to check if we are still on for the team meeting tomorrow at 3pm Please let me know if you need to reschedule and I will update the calendar invite accordingly,ham
Conference room booking confirmed for 2pm Friday,As discussed in our meeting last week I am following up on the budget proposal Could you please send me the updated figures so I can include them in the board presentation,ham
WINNER NOTIFICATION Claim your prize today,Your account has been compromised Verify your details immediately to prevent suspension Click here to confirm your identity This is urgent and requires immediate action from you,spam
Buy cheap Viagra Cialis online no prescription needed,SPECIAL OFFER Get a free iPhone 15 Pro just for completing our survey Limited to first 100 respondents All you need to do is provide your shipping address and email,spam
Reminder appointment with Dr Smith on Thursday 10am,Please find attached the project report for your review Let me know if you have any feedback or changes you would like me to make before the final submission deadline on Friday,ham
WINNER NOTIFICATION Claim your prize today,You have been pre-approved for a personal loan of 50000 with no credit check required Low interest rates guaranteed approval within 24 hours apply now get cash deposited directly,spam
Lose 30 pounds in 30 days guaranteed results,Buy cheap medications online without prescription Viagra Cialis and more available at 90 percent discount No doctor needed Order now and receive free shipping on all orders discreet packaging,spam
URGENT Your account will be suspended verify immediately,You have been pre-approved for a personal loan of 50000 with no credit check required Low interest rates guaranteed approval within 24 hours apply now get cash deposited directly,spam
